ma_hoc_phan,ten_vi,ten_en,so_tin_chi_tong,mo_ta_tom_tat,hoc_ky_goi_y,loai_hoc_phan
SC6228,Phát triển ứng dụng thương mại điện tử trên nền tảng WordPress,E-commerce Application Development,3.0,"Học phần này cung cấp cho sinh viên kiến thức và kỹ năng thực hành chuyên sâu trong việc phát triển ứng dụng thương mại điện tử trên nền tảng WordPress. Nội dung học phần tập trung vào quy trình thiết kế và xây dựng các loại hình website phổ biến: từ các trang tin tức chuyên nghiệp đến các hệ thống bán hàng trực tuyến tích hợp đầy đủ tính năng. Thông qua học phần, sinh viên có thể làm chủ hệ thống CMS, tự tay tùy biến giao diện chuyên nghiệp và thiết lập các quy trình thương mại từ quản lý kho hàng đến cấu hình thanh toán tự động với WooCommerce.",7,BAT_BUOC
SC6229,Hệ quản trị doanh nghiệp điện tử,Enterprise resource planning software,3.0,"Học phần này cung cấp cho sinh viên các kiến thức cơ bản về các hệ quản trị doanh nghiệp điện tử (ERP). Sinh viên có thể nấm được vai trò của ERP trong hỗ trợ ra quyết định thời gian thực, cũng như sự kết nối mạng giữa doanh nghiệp với khách hàng và đối tác thông qua SCM, CRM. Đồng thời, trang bị cho sinh viên các kỹ năng để sử dụng và phát triển hệ quản trị doanh nghiệp điện tử trong việc quản trị hoạt động của doanh nghiệp.",6,BAT_BUOC
SC6232,Lập trình Hệ thống nhúng và IoT,Embedded Programming and IoT,3.0,"Học phần này cung cấp cho sinh viên kiến thức cơ bản về lập trình Hệ thống những và IoT. Cụ thể sinh viên sẽ được trang bị các khái niệm, các kiến trúc, các kỹ thuật lập trình và phát triển hệ thống những và IoT. Sau khi học xong học phần này, sinh viên nằm được kiến thức, kỹ cơ bản về hệ thống những, hệ thống IoT và vận dụng vào giải quyết các bài toán thực tế.",6,TU_CHON
SC6234,An ninh mạng,Cyber security,3.0,"Học phần này cung cấp cho sinh viên các kiến thức cơ bản về an ninh mạng như các hình thức tấn công mạng, an toàn cho các thiết bị mạng, an ninh cho các tầng mạng, những vấn đề an toàn hệ thống liên quan đến xâm nhập trái phép, phần mềm độc hại, tưởng lửa và cấu hình cho tưởng lửa. Ngoài ra, học phần còn trang bị cho sinh viên kiến thức về một số điều khoản của luật an ninh mạng, chuẩn mục đạo đức của kỹ sư phần mềm theo ACM. Sau khi học xong học phần, sinh viên lựa chọn được giải pháp an toàn cho mạng máy tính, xác định được trách nhiệm nghề nghiệp và có khả năng nhận định các tình huống thực tế liên quan đến an ninh mạng dựa trên các nguyên tắc pháp luật và đạo đức.",6,TU_CHON
SC6236,Khai thác dữ liệu và ứng dụng,Data Mining and Applications,3.0,"Học phần cung cấp cho người học các ý tưởng và vấn đề cơ bản liên quan đến việc dự đoán và mô tả dữ liệu. Thông qua học phần này, người học tiếp cận được các kỹ thuật hiện đại được sử dụng để chuyển đổi dữ liệu thô thành thông tin hữu ích. Các kỹ thuật và lý thuyết được đề cập liên quan đến: phân loại, phân cụm, luật kết hợp, v.v... Khi hoàn thành môn học này, sinh viên làm chủ được các phương pháp và thuật toán khai phá dữ liệu phổ dụng để giải quyết các vấn đề thực tế.",6,TU_CHON
SC6237,Phân tích dữ liệu lớn,Big data Analysis,3.0,"Học phần cung cấp cho người học các khái niệm cơ bản về dữ liệu, dữ liệu lớn và phân tích dữ liệu lớn. Tiếp theo, người học được tiếp cận tới các phương pháp phân tích dữ liệu như: Tiền xử lý dữ liệu, phân tích mô tả, phân tích dự báo, phân tích dữ liệu mạng. Phân tiếp theo là các công cụ phân tích dữ liệu và dữ liệu lớn.",6,TU_CHON
SC6239,Nhập môn công nghệ phần mềm,Introduction to Software Engineering,3.0,"Học phần Nhập môn công nghệ phần mềm cung cấp cho sinh viên các kiến thức cơ bản về công nghệ phần mềm, bao gồm các phương pháp, nguyên tắc, kỹ thuật, công cụ, các hoạt động chính trong dự án phần mềm theo quy trình công nghiệp, và xu hướng phát triển phần mềm hiện đại, đặc biệt là ứng dụng trí tuệ nhân tạo trong công nghệ phần mềm, nhằm giúp sinh viên hình thành tư duy hệ thống, phương pháp làm việc theo quy trình và nền tảng cho các học phần chuyên sâu trong lĩnh vực công nghệ phần mềm.",4,BAT_BUOC
SC6240,Mạng máy tính,Computer network,3.0,,5,BAT_BUOC
SC6241,Kiểm thử phần mềm,Software Testing,3.0,"Học phần chú trọng hướng thực hành với các công cụ và môi trường kiểm thử phổ biến như JUnit, Selenium, Postman, Jenkins, và JMeter, giúp sinh viên hiểu và vận dụng được kiểm thử thủ công cũng như kiểm thử tự động. Sinh viên sẽ học cách thiết lập môi trường kiểm thử, sử dụng các framework tự động hóa, viết script kiểm thử API, giao diện người dùng và hiệu năng hệ thống. Kết thúc học phần, sinh viên có thể thiết kế và triển khai quy trình kiểm thử cho một ứng dụng phần mềm thực tế, biết cách báo cáo lỗi, đánh giá chất lượng sản phẩm, và phối hợp hiệu quả với nhóm phát triển để cải thiện độ tin cậy và hiệu năng phần mềm.",6,BAT_BUOC
SC6244,Trí tuệ nhân tạo,Artificial Intelligence,3.0,"Học phần Trí tuệ nhân tạo cung cấp các phương pháp luận và kỹ thuật nền tầng để máy tính có thể giải quyết các bài toán mà con người giải được dựa trên kỹ nghệ xử lý trì thức và lập trình heuristic. Học phần bao gồm các khái niệm và một số kỹ thuật cơ bản biểu diễn vấn đề và tìm kiếm lời, các phương pháp biểu diễn và xử lý trì thức cơ bản, giới thiệu một số công nghệ hiện đại và phân tích các ứng dụng cụ thể. Sau khi học xong học phần sinh viên có khả năng áp dụng một số mô hình AI vào thực tế.",5,BAT_BUOC
SC6260,Đồ án chuyên ngành,Major Project (Information Technology),3.0,Đồ án chuyên ngành nhằm mục đích cứng có kiến thức chuyên ngành công nghệ thông tin đã học vào giải quyết một bài toán nhỏ trong thực tế. Học phần giúp sinh viên rèn luyện làm bước đệm để chuẩn bị thực hiện đồ án tốt nghiệp.,7,BAT_BUOC
SC6261,Tương tác người - máy,Human - Computer Interaction,3.0,"Học phần cung cấp các kiến thức về các khái niệm, nguyên tắc, phương pháp, kỹ thuật thiết kế giao diện và tương tác giữa người dùng và máy tính. Thông qua học phần này, người học thiết kế được giao diện và tương tác giữa người dùng và máy tính.",7,BAT_BUOC
SC6262,Lập trình PHP nâng cao,Advanced PHP Programming,3.0,"Học phần này trang bị cho sinh viên các kỹ năng Lập trình PHP nâng cao, tập trung vào các khái niệm và kỹ thuật hiện đại. Nội dung khóa học bắt đầu từ nền tầng vững chắc về Lập trình hướng đối tượng (OOP) và áp dụng mô hình Model - View - Controller (MVC) để tổ chức cấu trúc dự án. Tiếp theo đó là các kiến thức và thực hành về framework chuyên nghiệp để đầy nhanh quá trình phát triển, đồng thời đi sâu vào các kỹ thuật kết nối cơ sở dữ liệu nâng cao và các phương pháp bảo mật thiết yếu cho ứng dụng web. Xuyên suốt học phần, các bài thực hành được lồng ghép để sinh viên vận dụng kiến thức, và kết thúc bằng việc thiết kế và xây dựng một ứng dụng web hoàn chỉnh. Sau khi học xong học phần, sinh viên có khả năng áp dụng các kiến thức, kỹ năng nâng cao của PHP để phát triển một ứng dụng web hoàn chỉnh.",7,TU_CHON
SC6263,Thiết kế web nâng cao,Advanced Web Design,3.0,Học phần này cung cấp các kiến thức về công nghệ Jquery và công nghệ Bootstrap. Sau khi học xong người học có thể xây dựng được các giao diện website ứng dụng trong thực tế.,6,TU_CHON
SC6265,Lập trình Python,Basic Python Programming,3.0,"Học phần cung cấp cho người học các kiến thức cơ bản về lập trình python, các cấu trúc điều khiển, các kiểu dữ liệu cơ sở và một số thuật toán cơ bản. Thông qua học phần này, người học giải quyết các vấn đề một cách tự nhiên theo bản chất của chúng và cải đặt chúng bằng ngôn ngữ python, đồng thời giới thiệu một số kỹ thuật lập trình cơ bản và vận dụng để giải một số bài toán cụ thể.",6,TU_CHON
SC6266,Lập trình Python nâng cao,Advanced Python Programming,3.0,"Học phần cung cấp cho người học các kiến thức và rèn luyện kỹ năng lập trình Python nâng cao, bao gồm: các chủ đề về lập trình GUI và lập trình cơ sở dữ liệu. Sauk hi học xong học phần này, người học có khả năng xây dựng các ứng dụng GUI để hiển thị và tương tác với các hệ thống cơ sở dữ liệu.",7,TU_CHON
SC6267,Đồ án chuyên ngành Hệ thống thông tin,Major Project,3.0,"Học phần Đồ án chuyên ngành Hệ thống thông tin được tổ chức trước thực tập doanh nghiệp và thực tập tốt nghiệp, nhằm cũng cố và vận dụng tổng hợp kiến thức, kỹ năng về thiết kế, triển khai, quản lý và đánh giá các dự án hệ thống thông tin. Thông qua việc thực hiện đồ án theo nhóm với dữ liệu và bối cảnh thực tế hoặc giả định, người học được rèn luyện năng lực tự học, tự nghiên cứu, tư duy hệ thống, đổi mới sáng tạo và làm việc nhóm, đồng thời thu thập và xử lý các số liệu cần thiết, từ đó triển khai một dự án hệ thống thông tin hoàn chính.",7,BAT_BUOC
SC6268,Phân tích nghiệp vụ,Bussiness Analysis,3.0,"Học phần trang bị cho sinh viên các khái niệm cơ bản về phân tích nghiệp vụ, các chiến lược, giai đoạn phân tích, đồng thời giới thiệu kĩ thuật và công cụ phân tích nghiệp vụ một chuyên viên phân tích nghiệp vụ sử dụng để phát triển một dự án công nghệ thông tin. Sau khi học xong học phần sinh viên có thể sử dụng thành thạo các phương pháp và công cụ phân tích nghiệp vụ phần mềm, khai thác các nhu cầu từ các bên liên quan; có khả năng lập kế hoạch phân tích; quản lý yêu cầu và đưa ra các đánh giá để đáp ứng các thay đổi trong dự án.",6,TU_CHON
